type of rubber,kaŭĉuk/,
"crouch, squat",kaŭr/,
cauterize,kaŭteriz/,
cause,kaŭz/,
"cavity, hollow, hole, pit",kav/,
cavalry,kavaleri/,
"knight, member of an order",kavalir/,
cavern,kavern/,
caviar,kaviar/,
"case (grammar, medicine, or law)",kaz/,
curds,kaze/,
"casemate, vaulted chamber, armored enclosure",kazemat/,
barracks (soldiers\' quarters),kazern/,
casino,kazin/,
that (conjunction),ke,
skittle (English ninepins game),kegl/,
"peg, pin",kejl/,
cellar,kel/,
"some, a little, a certain",kelk/,
waiter,kelner/,
chemistry,kemi/,
resinous pinewood,ken/,
kepi (a French military peaked cap),kep/,
heart (cards),ker/,
"kernel; grain, seed (corn)",kern/,
cherub,kerub/,
"chest, box",kest/,
of what kind,kia,
why,kial,
when,kiam,
kibbutz (Israeli collective community),kibuc/,
where,kie,
how,kiel,
whose,kies,
keel (of a ship),kil/,
kilogram,kilogram/,
kilometer,kilometr/,
kimono,kimon/,
cinematography,kin/,
quinine,kinin/,
what,kio,
how much,kiom,
kiosk,kiosk/,
body armor covering the torso,kiras/,
"whirl, twirl, churn",kirl/,
kirsch (type of alcoholic drink),kirŝ/,
surgeon,kirurg/,
surgery,kirurgi/,
kiss,kis/,
"smock, overall",kitel/,
"who, which",kiu,
"gossip, babble, chit-chat",klaĉ/,
fathom (unit of measure),klaft/,
"to make a short sound (clap, crack, snap, smack, etc.)",klak/,
"flap, overlapping piece, lid, shutter",klap/,
clear,klar/,
Clara,Klar/,virina nomo
clarinet,klarnet/,
"class, grade, rank",klas/,
classify,klasifik/,
classical,klasik/,
"key (of piano, typewriter, etc.)",klav/,
"well-educated, cultured, learned",kler/,
"client, customer",klient/,
climate,klimat/,
"incline, cause to bend, slant downwards",klin/,
"blade (of axe, chisel, knife, etc.)",kling/,
clinic,klinik/,
"enema, douche",klister/,
block or plate for type (typography),kliŝ/,
clitoris,klitor/,
"sewer, drain, cesspool",kloak/,
clone,klon/,
"endeavor, take steps, make efforts",klopod/,
chlorine,klor/,
"bell-shaped cover (clock-shade, etc.)",kloŝ/,
"club, association",klub/,
cluck (as a hen),kluk/,
lock (as of a canal); floodgate,kluz/,
boy,knab/,
"to make a short dry noise (grate, grind, scrape, etc.)",knar/,
knead,kned/,
"name of the letter \""k\""",ko,liternomo
coke (coal residue),koaks/,
cobalt,kobalt/,
"goblin, gnome, imp",kobold/,
cochineal (a dye made from dried bodies of the cochineal,koĉenil/,
code,kod/,
codex,kodeks/,
codicil (supplement to a will),kodicil/,
coefficient,koeficient/,
"chest, trunk, etc.",kofr/,
coherent,koher/,
coincide,koincid/,
"wedge, block, jam",kojn/,
chicken (type of bird),kok/,
cockade (ornament worn on a had as a badge),kokard/,
ladybug (type of insect),kokcinel/,
to flirt,koket/,
whooping-cough,kokluŝ/,
cocoon,kokon/,
coconut,kokos/,
hip (part of the body),koks/,
neck (part of the body),kol/,
sausage,kolbas/,
colleague,koleg/,
college,kolegi/,
collect,kolekt/,
"collective, common, joint",kolektiv/,
to be angry,koler/,
hummingbird,kolibr/,
colic (medical condition),kolik/,
"diver, loon (type of bird)",kolimb/,
collision,kolizi/,
collodion (type of chemical),kolodi/,
colophony (a resinous substance),kolofon/,
"dove, pigeon",kolomb/,
"column, pillar",kolon/,
colonel,kolonel/,
"colony, settlement",koloni/,
color,kolor/,
"colossus, huge dominating figure",kolos/,
"hawk (sell), peddle",kolport/,
type of snake,kolubr/,
"column (of text, figures, etc.)",kolumn/,
colza (type of plant),kolz/,
comma,kom/,
be in command (military),komand/,
type of commercial partnership (silent partnership),komandit/,
to comb,komb/,
to combine,kombin/,
comedy,komedi/,
"commence, begin",komenc/,
comment,koment/,
"commentary, explanatory notes",komentari/,
"business, commerce",komerc/,
comet,komet/,
comfort,komfort/,
"comical, funny, humorous",komik/,
"commissioner, deputy, temporary steward",komisar/,
"entrust with, put into the hands of",komisi/,
board authorized for a special enquiry or study,komision/,
committee,komitat/,
clerk (as at a store),komiz/,
chest of drawers,komod/,
compact,kompakt/,
company,kompani/,
compare,kompar/,
comparative form (grammar),komparativ/,
magnetic compass,kompas/,
"compassion, pity, sympathy",kompat/,
compensate,kompens/,
competent,kompetent/,
compile,kompil/,
complement,komplement/,
complete,komplet/,
"kindness, courtesy",komplez/,
complicate,komplik/,
compliment,kompliment/,
contrive a plot or plan for evil purposes,komplot/,
to compose music,kompon/,
to set type (in typography),kompost/,
fruit cooked or preserved in syrup,kompot/,
"understand, comprehend",kompren/,
compress (bandage),kompres/,
a compromise,kompromis/,
"to compromise, endanger, jeopardize",kompromit/,
compute,komput/,
"common to all, general, public",komun/,
Communion,komuni/,
communicate,komunik/,
"know, recognize, be acquainted with (as a person, etc.)",kon/,
"concede, admit",konced/,
"concentrate, draw together",koncentr/,
concept,koncept/,
concern,koncern/,
concert,koncert/,
"concession, grant, license",koncesi/,
concise,konciz/,
comdemn,kondamn/,
conditional mood (grammar),kondicional/,
"condition, qualification, stipulation",kondiĉ/,
"condole, express sorrow or sympathy",kondolenc/,
condom,kondom/,
condor (type of bird),kondor/,
"to conduct, lead",konduk/,
"conductor (as of a train, etc.)",konduktor/,
"to conduct, lead, guide",kondut/,
connect,konekt/,
confederate,konfederaci/,
ready-made suit or dress,konfekci/,
"conference, discussion",konferenc/,
confess,konfes/,
"confide, entrust",konfid/,
confide (secrets),konfidenc/,
confirm,konfirm/,
confiscate,konfisk/,
preserve in syrup,konfit/,
"conflict, battle",konflikt/,
"conformable to, in accordance with",konform/,
confuse,konfuz/,
conglomerate (type of rock),konglomerat/,
congregation,kongregaci/,
congress,kongres/,
cognac (type of alcoholic beverage),konjak/,
"conjecture, guess",konjekt/,
conjugate (grammar),konjugaci/,
conjunction (grammar),konjunkci/,
shell,konk/,
concave,konkav/,
conquer,konker/,
"conclude, arrive at by reason",konklud/,
"concord, agreement",konkord/,
"concrete, perceptible, real",konkret/,
"compete, be a rival to",konkur/,
compete commercially,konkurenc/,
a competition,konkurs/,
"be conscious of, aware of",konsci/,
conscience,konscienc/,
consecrate,konsekr/,
"consistent, in accordance with an established principle",konsekvenc/,
"consent, agree",konsent/,
"keep, conserve, preserve",konserv/,
conservative (as in politics),konservativ/,
"conservatory (of music, etc.)",konservatori/,
consider,konsider/,
"advise, counsel",konsil/,
consist,konsist/,
consistory (ecclesiastical court),konsistori/,
"console, comfort",konsol/,
consonant (grammar),konsonant/,
conspire,konspir/,
constant,konstant/,
"ascertain to be true by investigation, establish, prove",konstat/,
fill with consternation or dismay,konstern/,
constitution (as in politics),konstituci/,
"construct, build",konstru/,
consul,konsul/,
consult,konsult/,
consume,konsum/,
"account, reckoning of debit and credit",kont/,
"contact, connection, touch",kontakt/,
"cash down, ready money",kontant/,
"content, satisfied, pleased",kontent/,
"contest, call into question",kontest/,
continent,kontinent/,
continuous,kontinu/,
office for keeping books or transacting business,kontor/,
contraband,kontraband/,
double bass (type of stringed musical instrument),kontrabas/,
"contract, binding promise",kontrakt/,
contralto (type of singing voice),kontralt/,
counterpoint (art of combining melodies),kontrapunkt/,
contrast,kontrast/,
"against, in opposition to",kontraŭ,
contribute,kontribu/,
tax imposed on a conquered nation for support of the,kontribuci/,
"audit, check (upon), examine, inspect",kontrol/,
"outline, contour, external boundary",kontur/,
"bruise, contuse",kontuz/,
cone,konus/,
lily of the valley (type of plant),konval/,
convex,konveks/,
"be suitable, suit",konven/,
"convention, agreement",konvenci/,
"converse, chat, talk",konversaci/,
to convert,konvert/,
convince,konvink/,
convolvulus (type of plant),konvolvul/,
convulsion,konvulsi/,
a cooperative,kooperativ/,
copeck (type of Russian coin),kopek/,
"copy, duplicate, reproduce",kopi/,
heart,kor/,
coral,koral/,
Koran,Koran/,
basket,korb/,
string (of a musical instrument),kord/,
"correct, set right, remove errors",korekt/,
correlative (grammar),korelativ/,
correspond (to exchange letters),korespond/,
"corridor, galley, main passageway",koridor/,
leader of a chorus or choir,korife/,
a cork,kork/,
horn,korn/,
cornea,korne/,
cornet,kornet/,
"cornice, molded projection at top of buiding, etc.",kornic/,
crow (type of bird),kornik/,
corolla (type of plant),korol/,
body,korp/,
corporation,korporaci/,
body of troops; division of an army,korpus/,
"bodice, body, corsage (of a woman\'s dress)",korsaĵ/,
"corsair, privateer (privately-owned ship authorized to raid",korsar/,
corset (type of woman\'s undergarment),korset/,
"court, courtyard",kort/,
bribe,korupt/,
member of the crow family; raven (type of bird),korv/,
corvette (type of ship),korvet/,
"cosmos, space",kosm/,
cosmetic,kosmetik/,
cosmogony (origin of the Universe),kosmogoni/,
cosmographer (practitioner of cosmograph),kosmograf/,
cosmography (general description of the world or,kosmografi/,
cosmopolitan,kosmopolit/,
"to cost, to involve expenditure",kost/,
Costa Rica,Kostarik/,
"costume, style of dress",kostum/,
"dirt, mud",kot/,
contribute,kotiz/,
"cutlet, chop, small piece of meat",kotlet/,
cotton (type of fabric),koton/,
quail (type of bird),koturn/,
"brood, hatch, sit (as a hen on eggs, etc.)",kov/,
envelope,kovert/,
"cover, put a cover on",kovr/,
cossack (type of cavalry soldier in a Russian czarist army),kozak/,
crab (type of sea creature),krab/,
hornet (type of insect),krabr/,
spit,kraĉ/,
"grating, crossbars",krad/,
pencil,krajon/,
"crack; make a sharp, dry noise",krak/,
cracknel (type of light crisp biscuit),kraken/,
cramp,kramf/,
"clamp, brace (as in carpentry or typography)",kramp/,
"tap, faucet, spigot",kran/,
skull,krani/,
hawthorne (type of plant),kratag/,
crater,krater/,
"cravat, necktie",kravat/,
create,kre/,
believe,kred/,
credit,kredit/,
"creditor, one to whom a debt is owed",kreditor/,
cream,krem/,
horseradish (type of plant),kren/,
creole,kreol/,
creosote (type of oily liquid substance used as a wood,kreozot/,
crape (type of fabric with a wrinkled surface),krep/,
twilight,krepusk/,
watercress (type of plant),kres/,
grow,kresk/,
"comb, crest (on an animal\'s head)",krest/,
"chrestomathy, a collection of model writings",krestomati/,
chalk,kret/,
"burst, break up, explode",krev/,
"cry out, shout",kri/,
"sieve, sift",kribr/,
crime,krim/,
criminal (adj.),kriminal/,
twisted ring-shaped bun or biscuit,kring/,
"crippled, deformed",kripl/,
"crypt, underground burial vault",kript/,
"a frill, ruffle",krisp/,
Christ,Krist/,
crystal,kristal/,
criterion,kriteri/,
criticize,kritik/,
crisis,kriz/,
chrysanthemum (type of plant),krizantem/,
"hook to, fasten to, hitch on to",kroĉ/,
crocodile,krokodil/,
"except, besides, apart from",krom,
chromosome,kromosom/,
crown,kron/,
"chronicle, annals, continuous narrative",kronik/,
chronology,kronologi/,
chronometer,kronometr/,
"craw, pouch, gullet (of birds)",krop/,
to cruise (of ships),kroz/,
a cross,kruc/,
crucifix,krucifiks/,
"jug, pitcher",kruĉ/,
"raw, crude, in natural state",krud/,
cruel,kruel/,
croup (type of disease),krup/,
leg,krur/,
crust,krust/,
steep,krut/,
xylophone,ksilofon/,
"q \[liternomo\] name of the letter \""q\""",ku/,
cube,kub/,
Cuba,Kub/,
elbow,kubut/,
sew,kudr/,
"coif, (type of head-dress for women)",kuf/,
bullet,kugl/,
to cook (food),kuir/,
a cake,kuk/,
cuckoo (type of bird),kukol/,
cucumber (type of vegetable),kukum/,
"pumpkin, gourd, squash",kukurb/,
gnat (type of insect),kul/,
spoon,kuler/,
backdrop (in theater); backstage,kulis/,
"guilty, at fault",kulp/,
cult,kult/,
"culture, refinement",kultur/,
cumin (type of plant),kumin/,
with,kun,
rabbit,kunikl/,
cupping-glass (medical device),kup/,
compartment in a railroad car,kupe/,
"cupola, dome (in architecture)",kupol/,
"coupon, ticket",kupon/,
copper,kupr/,
to run,kur/,
"treat (as an ilness), apply remedies, doctor",kurac/,
courageous,kuraĝ/,
"trustee, curator",kurator/,
"curve, arc, bend, turn",kurb/,
electrical current,kurent/,
"courier, messenger",kurier/,
"curious, interesting, odd",kurioz/,
"course (of instruction), series of lessons",kurs/,
cursive (handwriting),kursiv/,
curtain,kurten/,
exchange rate (finance),kurz/,
cushion,kusen/,
lie (down),kuŝ/,
"custom, practice, habit",kutim/,
"tub, big uncovered bucket",kuv/,
cousin,kuz/,
square,kvadrat/,
quadrature,kvadratur/,
quadrille (type of dance),kvadril/,
Quaker,Kvaker/,
"quality, distinctive property, attribute, characteristic",kvalit/,
although,kvankam,
quantity,kvant/,
four,kvar,
quarantine,kvaranten/,
quartz,kvarc/,
a fourth (as in music); quart,kvart/,
"quarter (of town), district, ward",kvartal/,
tassel,kvast/,
as if,kvazaŭ,
quarrel,kverel/,
oak (type of tree),kverk/,
quaestor (type of ancient Roman official),kvestor/,
quiet,kviet/,
five,kvin,
a fifth (as in music),kvint/,
quintessence,kvintesenc/,
"quit; clear, free, acquitted",kvit/,
receipt,kvitanc/,
quotient,kvocient/,
quorum,kvorum/,
the,la,
"labyrinth, maze",labirint/,
"labor, work",labor/,
laboratory,laboratori/,
"tired, weary",lac/,
lizard,lacert/,
"lace, cord (for boots, shoes, etc.)",laĉ/,
sheet metal,lad/,
lava,laf/,
lake,lag/,
lagoon,lagun/,
"lay, secular, non-clerical",laik/,
lacquer,lak/,
"lackey, footman, manservant",lake/,
"diarrhea, looseness (of bowels)",laks/,
milk,lakt/,
lettuce,laktuk/,
lame,lam/,
"lama, Tibetan Buddhist monk",lama/,
"lamina, thin plate, film",lamen/,
"lament, grieve, mourn",lament/,
lamp,lamp/,
glow-worm,lampir/,
wool,lan/,
"lance, spear",lanc/,
launch,lanĉ/,
"land, country",land/,
tongue (anatomy),lang/,
lantern,lantern/,
"down, fluff (of feathers)",lanug/,
great burdock (type of plant),lap/,
solid silver nitrate (chemical),lapis/,
bacon,lard/,
"broad, wide",larĝ/,
larch (type of tree),larik/,
larynx,laring/,
tear (drop),larm/,
"larva, maggot",larv/,
"leave, allow, let",las/,
laser,laser/,
"last, after all others",last/,
lath (strip of wood),lat/,
side (of a geometrical figure),later/,
latitude,latitud/,
brass,latun/,
Latvian (people),Latv/,
according to,laŭ,
"arbour, summer-house",laŭb/,
praise,laŭd/,
laurel (type of tree),laŭr/,
"laureate, winner in a competition",laŭreat/,
loud,laŭt/,
wash,lav/,
avalanche,lavang/,
lavender (type of plant),lavend/,
"azure, sky blue",lazur/,
lesson,lecion/,
leather,led/,
read,leg/,
papal legate (representative),legat/,
"legend, myth",legend/,
legion,legi/,
legitimize,legitim/,
vegetable,legom/,
law,leĝ/,
lick (with the tongue),lek/,
marguerite (type of plant),lekant/,
lecture,lekci/,
lexicon,leksikon/,
lens,lens/,
lentil,lent/,
freckle,lentug/,
lion,leon/,
dandelion,leontod/,
leopard,leopard/,
hare,lepor/,
leprosy,lepr/,
learn,lern/,
"clever, skillful",lert/,
lye (for bleaching),lesiv/,
lethargy,letargi/,
letter,leter/,
leukemia,leŭkemi/,
lieutenant,leŭtenant/,
"lift, raise",lev/,
gilliflower (type of plant),levkoj/,
he,li,
liana (type of plant),lian/,
Lebanon,Liban/,
dragonfly (type of insect),libel/,
free,liber/,
liberal (politics),liberal/,
Liberia,Liberi/,
Libya,Libi/,
book,libr/,
French secondary school (lycée),lice/,
"license, authorize, give permit",licenc/,
spleen (anatomy),lien/,
elevator,lift/,
"bind, tie, fasten",lig/,
"wood, timber, lumber",lign/,
lichen (type of plant),liken/,
liquid,likv/,
"liquidate, clear off, discharge, put an end to",likvid/,
liqueur (alcoholic beverage),likvor/,
lily (type of plant),lili/,
"limit, boundary, border",lim/,
slug (type of animal),limak/,
lymph,limf/,
lemonade,limonad/,
flax (type of plant),lin/,
language,lingv/,
line (as in geometry),lini/,
lynx (type of animal),link/,
lip,lip/,
lyre,lir/,
lyric; lyrical poem,lirik/,
"list, register, roll (of persons or things)",list/,
bed,lit/,
litany,litani/,
letter (of alphabet),liter/,
literature,literatur/,
lithograph,litograf/,
lithography (type of printing),litografi/,
liter,litr/,
liturgy,liturgi/,
lute,liut/,
deliver,liver/,
"livery, servant\'s uniform",livre/,
"name of the letter \""l\""",lo,liternomo
lobe,lob/,
half an ounce,lod/,
"draw, entice",log/,
logarithm,logaritm/,
logic,logik/,
logogriph (type of word puzzle),logogrif/,
"dwell, lodge, live",loĝ/,
box (theater); lodge (masonic),loĝi/,
loyal,lojal/,
"eel-pout, burbot (type of fish)",lojt/,
"place, location",lok/,
steam-powered car or tractor,lokomobil/,
locomotive,lokomotiv/,
rye-grass (type of plant),lol/,
London,London/,
long,long/,
longitude,longitud/,
honeysuckle (type of plant),lonicer/,
"lord, nobleman",lord/,
"field-glass, spyglass (small telescope)",lorn/,
cast (draw) lots,lot/,
lottery,loteri/,
lotus (type of plant),lotus/,
diamond-shaped figure,lozanĝ/,
"hire, book, rent",lu/,
"lubricate, grease, oil",lubrik/,
hanging lamp (as in a church or house),lucern/,
play,lud/,
Ludovik (man\'s name),Ludovik/,
skylight,luk/,
luxury,luks/,
"contend, grapple, struggle",lukt/,
"lull, soothe, rock to sleep",lul/,
light,lum/,
small of the back (anatomy),lumb/,
earthworm,lumbrik/,
moon,lun/,
sleepwalker; capricous person; lunatic,lunatik/,
Monday,lund/,
wolf,lup/,
hop (type of plant),lupol/,
chandelier,lustr/,
"solder, join metals with solder",lut/,
Luther,Luter/,
otter,lutr/,
"matza, unleavened bread",mac/,
chew,maĉ/,
"Madonna, the Virgin Mary",Madon/,
"emporium, large shop, department store",magazen/,
magic,magi/,
magnet,magnet/,
magnetism,magnetism/,
tape recorder,magnetofon/,
mahogany (type of tree),mahagon/,
"maize, corn",maiz/,
May,Maj/,
majestic,majest/,
majolica (type of Italian ceramic),majolik/,
mayonnaise,majonez/,
major (military title),major/,
master (of an art or trade),majstr/,
uppercase letter,majuskl/,
macadam (type of pavement),makadam/,
macaroon (almond-flavored cookie),makaron/,
macaroni,makaroni/,
act as broker (between buyer and seller),makler/,
"maxim, principle of conduct",maksim/,
maximum,maksimum/,
"stain, spot, mark",makul/,
jaw-bone,makzel/,
denotes opposites,mal/,prefikso
malachite (type of mineral),malakit/,
malaria,malari/,
ankle,maleol/,
in spite of,malgraŭ,
malice,malic/,
malt,malt/,
mallow (type of plant),malv/,
"breast, udder",mam/,
mammoth (type of animal),mamut/,
hand,man/,
manna,mana/,
mandaren (type of Chinese official),mandaren/,
mandarin orange,mandarin/,
mandate,mandat/,
mandoline,mandolin/,
mango,mang/,
manganese,mangan/,
eat,manĝ/,
"mania, craze",mani/,
"manner, way",manier/,
"manifest, display, exhibit, show",manifest/,
"manifestation, public demonstration",manifestaci/,
sleeve,manik/,
cassava (plant),maniok/,
manipulate,manipul/,
lack,mank/,
manometer (gas pressure gauge),manometr/,
maneuver (military),manovr/,
attic,mansard/,
"cape, cloak, long over-garment with or without sleeves",mantel/,
factory,manufaktur/,
"manuscript, book or document written by hand",manuskript/,
map,map/,
sea,mar/,
marasmus (progressive emaciation),marasm/,
marzipan (almond paste),marcipan/,
"marsh, swamp",marĉ/,
"to bargain, haggle over",marĉand/,
Tuesday,mard/,
margarine,margarin/,
margin (of a page),marĝen/,
Mary,Mari/,
"marinade, brine, cure",marin/,
marionette,marionet/,
"a mark, sign, impression",mark/,
marquis (nobleman title),markiz/,
layer (branch or shoot of a plant treated to induce,markot/,
marmalade,marmelad/,
marble (type of rock),marmor/,
"marmot, woodchuck (type of animal)",marmot/,
Morocco,Marok/,
Morocco leather,maroken/,
"march, walk",marŝ/,
marshal (military),marŝal/,
March (month),Mart/,
hammer,martel/,
martyr,martir/,
mass (as in physics),mas/,
massage,masaĝ/,
massive,masiv/,
mask,mask/,
to build with stone,mason/,
mast,mast/,
"mastic, putty",mastik/,
"master (of house, establishment, etc.)",mastr/,
"mesh; loop, lasso",maŝ/,
machine,maŝin/,
mat,mat/,
matador,matador/,
yerba mate (plant),mate/,
mathematics,matematik/,
morning,maten/,
matter,materi/,
material (of which something is made),material/,
mattress,matrac/,
matrix,matric/,
"mature, ripe",matur/,
mausoleum,maŭzole/,
mazurka (type of Polish dance),mazurk/,
piece of furniture,mebl/,
wick (of a candle or lamp),meĉ/,
medal,medal/,
medallion,medalion/,
"sphere influence, environment, habitat, surroundings",medi/,
science of medicine,medicin/,
"medicine, drug",medikament/,
meditate,medit/,
Mediterranean Sea,Mediterane/,
medium (spiritualist),medium/,
bone marrow,medol/,
medusa (in mythology or zoology),meduz/,
mechanics,meĥanik/,
 ,meĥanism/,
mile,mejl/,
mechanics,mekanik/,
mechanism,mekanism/,
Mexico,Meksik/,
badger,mel/,
melancholy,melankoli/,
molasses,melas/,
turkey,meleagr/,
balm (type of plant),melis/,
to milk (verb),melk/,
melody,melodi/,
melodrama,melodram/,
melon,melon/,
eggplant,melongen/,
self,mem,
member (in general or anatomical),membr/,
membrane,membran/,
remember,memor/,
"make mention of, allude to",menci/,
"place an order (for goods, etc.)",mend/,
mind; intellect,mens/,
tell a lie,mensog/,
menstruate,menstru/,
mint,ment/,
chin,menton/,
mentor,mentor/,
menu,menu/,
meridian,meridian/,
"deserve, merit, be worthy of",merit/,
wild cherry (type of tree),meriz/,
"market, sphere of commercial activity (e.g. gold market)",merkat/,
Wednesday,merkred/,
blackbird,merl/,
whiting (type of fish),merlang/,
mass (Roman Catholic),mes/,
message,mesaĝ/,
Messiah,Mesi/,
medlar (type of fruit),mespil/,
"put, place",met/,
metaphysics,metafizik/,
metaphor,metafor/,
metal,metal/,
metallurgy,metalurgi/,
metamorphosis,metamorfoz/,
"metempsychosis, transmigration of souls",metempsikoz/,
meteor,meteor/,
meteorologist,meteorolog/,
meteorology,meteorologi/,
"handicraft, occutation",meti/,
method,metod/,
meter (unit of length),metr/,
"metrics, meter, measure of verse",metrik/,
metronome,metronom/,
metropolis,metropol/,
seagull,mev/,
middle,mez/,
measure,mezur/,
I,mi,
"miasma, noxious vaporous exhalation",miasm/,
meow (sound of a cat),miaŭ/,
honey,miel/,
"mien, air, look, facial expression",mien/,
almond,migdal/,
migrate,migr/,
Michael,Miĥael/,
microbe,mikrob/,
microphone,mikrofon/,
micrometer,mikrometr/,
microscope,mikroskop/,
"mix, blend, combine",miks/,
thousand (1000),mil,
"mild, gentle",mild/,
millet (type of grass),mili/,
billion (10^9^),miliard/,
milligram,miligram/,
millimeter,milimetr/,
million (10^6^),milion/,
war,milit/,
kite (type of bird),milv/,
"mimic, imitate",mimik/,
mimosa (type of plant),mimoz/,
"mine (as of gold, etc., or in military sense)",min/,
"menace, threaten",minac/,
"minaret, turret of a mosque",minaret/,
mineral,mineral/,
minerologist,mineralog/,
minerology,mineralogi/,
miniature (a small object of art),miniatur/,
minimum,minimum/,
"ministry (of state, not of religion)",ministeri/,
"minister (of state, not of religion)",ministr/,
minus,minus,
lowercase letter,minuskl/,
minute (1/60 hour or degree),minut/,
desman (type of animal),miogal/,
near-sighted,miop/,
forget-me-not (type of plant),miozot/,
"wonder, marvel",mir/,
mirabelle (type of plant),mirabel/,
mirage,miraĝ/,
miracle,mirakl/,
myrrh (type of plant resin),mirh/,
myriad (10000),miriad/,
myriameter (10 kilometers),miriametr/,
myrtle (type of plant),mirt/,
bilberry (type of plant),mirtel/,
"mis-, incorrectly, in error",mis/,prefikso
mission,misi/,
mystery,mister/,
"mystify, bewilder, hoax",mistifik/,
mystical,mistik/,
myth,mit/,
mythologist,mitolog/,
mythology,mitologi/,
"mitre, head-dress of high priest",mitr/,
mussel (type of sea creature),mitul/,
misery,mizer/,
"name of the letter \""m\""",mo,liternomo
mobilize,mobiliz/,
"fashion, vogue, prevailing custom; mood (grammar)",mod/,
model,model/,
modem,modem/,
moderate,moder/,
modern,modern/,
modest,modest/,
modify,modif/,
modulate,modul/,
"mock, ridicule",mok/,
soft,mol/,
molecule,molekul/,
mollusk,molusk/,
moment (of time),moment/,
money,mon/,
"monk, friar",monaĥ/,
monarch,monarĥ/,
monarchy,monarĥi/,
monarch,monark/,
monarchy,monarki/,
month,monat/,
world,mond/,
jackdaw (type of bird),moned/,
monogram,monogram/,
monologue,monolog/,
monomania (fixation on a single idea or thought),monomani/,
monopoly,monopol/,
monotheism,monoteism/,
monotonous,monoton/,
monster,monstr/,
mountain,mont/,
to show,montr/,
monument,monument/,
pug (type of dog),mops/,
"manner of living, custom, habitual conduct",mor/,
morals,moral/,
measles,morbil/,
bite,mord/,
morphine,morfin/,
tomorrow,morgaŭ,
die,mort/,
mortar,morter/,
cod (type of fish),moru/,
mulberry (type of fruit),morus/,
musk (odiferous substance from animals),mosk/,
mosque,moske/,
mosquito,moskit/,
"new wine, unfermented grape juice",most/,
universal title of politeness and respect,moŝt/,
"motive, reason, cause",motiv/,
"motor, engine",motor/,
move,mov/,
mosaic,mozaik/,
"to mill, to grind",muel/,
muff (covering to warm the hands),muf/,
"howl, roar, moan (sound of the wind, etc.)",muĝ/,
mucus,muk/,
mule,mul/,
mold (verb),muld/,
"much, a lot of",mult/,
multiply,multiplik/,
mummy,mumi/,
ammunition,munici/,
"mount, build, erect, hang",munt/,
wall,mur/,
murder,murd/,
murmur,murmur/,
mouse,mus/,
moss,musk/,
nutmeg,muskat/,
muscle,muskol/,
muslin (type of fabric),muslin/,
mustard,mustard/,
weasel (type of animal),mustel/,
a fly (type of insect),muŝ/,
"mute, unable to speak",mut/,
muse (Greek goddess),muz/,
museum,muze/,
"muzzle, snout",muzel/,
music,muzik/,
ending of the objective; also marks direction,-n,finaĵo
nation,naci/,
"needle (an indicator as in a meter, etc.)",nadl/,
naphtha (chemical substance),naft/,
naphthaline (chemical substance),naftalin/,
swim,naĝ/,
naïve,naiv/,
neighbor,najbar/,
nail,najl/,
nightingale (type of bird),najtingal/,
dwarf,nan/,
nankeen (type of fabric),nanken/,
rape (type of plant),nap/,
"narcissus, daffodil (type of plant)",narcis/,
narcotize (induce sleep through drugs),narkot/,
narcotic,narkotik/,
cone-shaped basket for catching fish,nas/,
give birth to,nask/,
sodium (chemical element),natri/,
nature,natur/,
naturalism,naturalism/,
nine,naŭ,
"nauseate, disgust, sicken",naŭz/,
nave (long narrow central hall of a church),nav/,
navigation,navigaci/,
nose,naz/,
"no, not",ne,
fog,nebul/,
necessary,neces/,
Netherlands,Nederland/,
negative,negativ/,
"neglect, disregard, leave uncared for",neglekt/,
negligée,negliĝ/,
"business affair, deal, negotiation",negoc/,
black person,negr/,
snow,neĝ/,
"neither, nor",nek,
obituary,nekrolog/,
nectar,nektar/,
not any kind of,nenia,
for no reason,nenial,
never,neniam,
nowhere,nenie,
"in no way, not anyhow, by no means",neniel,
no one\'s,nenies,
nothing,nenio,
"none, no amount",neniom,
nobody,neniu,
"neologism, newly coined word",neologism/,
grandson,nep/,
nepotism,nepotism/,
without fail,nepr/,
nerve,nerv/,
"nervous, easily excited, high-strung",nervoz/,
nest,nest/,
"neat, clean",net/,
neuter,neŭtr/,
neutral,neŭtral/,
nephew,nev/,
we,ni,
"niche, nook",niĉ/,
black,nigr/,
nihilism,nihilism/,
nihilist,nihilist/,
Nicaragua,Nikaragv/,
nickel (chemical element),nikel/,
(man\'s name),Nikodem/,
(man\'s name),Nikola/,
nicotine (chemical),nikotin/,
nylon,nilon/,
"nimbus, glory, halo",nimb/,
nymph,nimf/,
"level (sea, etc.)",nivel/,
sparrow-hawk (type of bird),niz/,
diminutive of female names,nj/,sufikso
"name of the letter \""n\""",no,liternomo
"nobleman, lord",nobel/,
noble,nobl/,
"node, point of intersection",nod/,
night,nokt/,
little owl (type of bird),noktu/,
name,nom/,
nomad,nomad/,
"number, quantity",nombr/,
"nominal, existing in name only",nominal/,
nominative (grammar),nominativ/,
north,nord/,
"norm, standard",norm/,
"normal, ordinary, typical, usual",normal/,
Norwegian (people),Norveg/,
nostalgia,nostalgi/,
"note, brief written remark; musical note",not/,
notary,notari/,
new,nov/,
"novelette, short fictional story",novel/,
November,Novembr/,
novice,novic/,
well (interjection),nu,
"nuance, shade. subtle difference in color, meaning, etc.",nuanc/,
cloud,nub/,
